"住所CD","都道府県CD","市区町村CD","町域CD","郵便番号","事業所フラグ","廃止フラグ","都道府県","都道府県カナ","市区町村","市区町村カナ","町域","町域カナ","町域補足","京都通り名","字丁目","字丁目カナ","補足","事業所名","事業所名カナ","事業所住所","新住所CD"
760000000,37,37201,372010000,"760-0000",0,0,"香川県","カガワケン","高松市","タカマツシ",,"　","（該当なし）",,,,,,,,
760000200,37,37201,372010001,"760-0002",0,0,"香川県","カガワケン","高松市","タカマツシ","茜町","アカネチョウ",,,,,,,,,
760006400,37,37201,372010002,"760-0064",0,0,"香川県","カガワケン","高松市","タカマツシ","朝日新町","アサヒシンマチ",,,,,,,,,
761852000,37,37201,372010002,"761-8520",1,0,"香川県","カガワケン","高松市","タカマツシ","朝日新町","アサヒシンマチ",,,,,,"株式会社　菱屋","カブシキガイシヤ　ヒシヤ","朝日新町１８－２２",
760006500,37,37201,372010003,"760-0065",0,0,"香川県","カガワケン","高松市","タカマツシ","朝日町","アサヒマチ",,,,,,,,,
760855700,37,37201,372010003,"760-8557",1,0,"香川県","カガワケン","高松市","タカマツシ","朝日町","アサヒマチ",,,,,,"香川県立　中央病院","カガワケンリツ　チユウオウビヨウイン","朝日町１丁目２－１",
760853700,37,37201,372010003,"760-8537",1,0,"香川県","カガワケン","高松市","タカマツシ","朝日町","アサヒマチ",,,,,,"香川県　社会保険診療報酬支払基金","カガワケン　シヤカイホケンシンリヨウホウシユウシハライキキン","朝日町２丁目１７－３",
761013000,37,37201,372010004,"761-0130",0,0,"香川県","カガワケン","高松市","タカマツシ","庵治町","アジチョウ",,,,,,,,,
761019800,37,37201,372010004,"761-0198",1,0,"香川県","カガワケン","高松市","タカマツシ","庵治町","アジチョウ",,,,,,"国立療養所　大島青松園","コクリツリヨウヨウシヨ　オオシマセイシヨウエン","庵治町６０３４－１",
761018700,37,37201,372010004,"761-0187",1,0,"香川県","カガワケン","高松市","タカマツシ","庵治町","アジチョウ",,,,,,"高松市役所　庵治支所","タカマツシヤクシヨ　アジシシヨ","庵治町６３９３－５",
761803300,37,37201,372010005,"761-8033",0,0,"香川県","カガワケン","高松市","タカマツシ","飯田町","イイダチョウ",,,,,,,,,
761800200,37,37201,372010006,"761-8002",0,0,"香川県","カガワケン","高松市","タカマツシ","生島町","イクシマチョウ",,,,,,,,,
760003800,37,37201,372010007,"760-0038",0,0,"香川県","カガワケン","高松市","タカマツシ","井口町","イグチマチ",,,,,,,,,
761044400,37,37201,372010008,"761-0444",0,0,"香川県","カガワケン","高松市","タカマツシ","池田町","イケダチョウ",,,,,,,,,
761808400,37,37201,372010009,"761-8084",0,0,"香川県","カガワケン","高松市","タカマツシ","一宮町","イチノミヤチョウ",,,,,,,,,
760007800,37,37201,372010010,"760-0078",0,0,"香川県","カガワケン","高松市","タカマツシ","今里町","イマザトチョウ",,,,,,,,,
760004300,37,37201,372010011,"760-0043",0,0,"香川県","カガワケン","高松市","タカマツシ","今新町","イマジンマチ",,,,,,,,,
761800500,37,37201,372010012,"761-8005",0,0,"香川県","カガワケン","高松市","タカマツシ","植松町","ウエマツチョウ",,,,,,,,,
760003400,37,37201,372010013,"760-0034",0,0,"香川県","カガワケン","高松市","タカマツシ","内町","ウチマチ",,,,,,,,,
760863900,37,37201,372010013,"760-8639",1,0,"香川県","カガワケン","高松市","タカマツシ","内町","ウチマチ",,,,,,"株式会社　三越　高松店","カブシキガイシヤ　ミツコシ　タカマツテン","内町７－１",
760858900,37,37201,372010013,"760-8589",1,0,"香川県","カガワケン","高松市","タカマツシ","内町","ウチマチ",,,,,,"株式会社　高松三越","カ）　タカマツミツコシ","内町７番１号",
761804400,37,37201,372010014,"761-8044",0,0,"香川県","カガワケン","高松市","タカマツシ","円座町","エンザチョウ",,,,,,,,,
761858500,37,37201,372010014,"761-8585",1,0,"香川県","カガワケン","高松市","タカマツシ","円座町","エンザチョウ",,,,,,"マックスバリュ西日本　株式会社　四国事務所","マツクスバリユニシニホン　カブシキガイシヤ　シコクジムシヨ","円座町１００１",
760001300,37,37201,372010015,"760-0013",0,0,"香川県","カガワケン","高松市","タカマツシ","扇町","オウギマチ",,,,,,,,,
760850200,37,37201,372010015,"760-8502",1,0,"香川県","カガワケン","高松市","タカマツシ","扇町","オウギマチ",,,,,,"セーラー広告　株式会社","セ－ラ－コウコク　カブシキガイシヤ","扇町２丁目７－２０",
760853600,37,37201,372010015,"760-8536",1,0,"香川県","カガワケン","高松市","タカマツシ","扇町","オウギマチ",,,,,,"新日本法規出版　株式会社　高松支社","シンニツポンホウキシユツパン　カブシキガイシヤ　タカマツシシヤ","扇町３丁目１４－１１",
761807400,37,37201,372010016,"761-8074",0,0,"香川県","カガワケン","高松市","タカマツシ","太田上町","オオタカミマチ",,,,,,,,,
761807300,37,37201,372010017,"761-8073",0,0,"香川県","カガワケン","高松市","タカマツシ","太田下町","オオタシモマチ",,,,,,,,,
761804700,37,37201,372010018,"761-8047",0,0,"香川県","カガワケン","高松市","タカマツシ","岡本町","オカモトチョウ",,,,,,,,,
760009100,37,37201,372010019,"760-0091",0,0,"香川県","カガワケン","高松市","タカマツシ","男木町","オギチョウ",,,,,,,,,
761043100,37,37201,372010020,"761-0431",0,0,"香川県","カガワケン","高松市","タカマツシ","小村町","オモレチョウ",,,,,,,,,
761170300,37,37201,372010021,"761-1703",0,0,"香川県","カガワケン","高松市","タカマツシ","香川町浅野","カガワチョウアサノ",,,,,,,,,
761170100,37,37201,372010022,"761-1701",0,0,"香川県","カガワケン","高松市","タカマツシ","香川町大野","カガワチョウオオノ",,,,,,,,,
761179400,37,37201,372010022,"761-1794",1,0,"香川県","カガワケン","高松市","タカマツシ","香川町大野","カガワチョウオオノ",,,,,,"香川県立　香川中央高等学校","カガワケンリツ　カガワチユウオウコウトウガツコウ","香川町大野２００１",
761179300,37,37201,372010022,"761-1793",1,0,"香川県","カガワケン","高松市","タカマツシ","香川町大野","カガワチョウオオノ",,,,,,"四国繊維販売　（株）","シコクセンイハンバイ　カブシキガイシヤ","香川町大野下中津２１３４－６",
761170400,37,37201,372010023,"761-1704",0,0,"香川県","カガワケン","高松市","タカマツシ","香川町川内原","カガワチョウカワナイハラ",,,,,,,,,
761170600,37,37201,372010024,"761-1706",0,0,"香川県","カガワケン","高松市","タカマツシ","香川町川東上","カガワチョウカワヒガシカミ",,,,,,,,,
761179500,37,37201,372010024,"761-1795",1,0,"香川県","カガワケン","高松市","タカマツシ","香川町川東上","カガワチョウカワヒガシカミ",,,,,,"高松市役所　香川支所","タカマツシヤクシヨ　カガワシシヨ","香川町川東上１８６５－１３",
761179200,37,37201,372010024,"761-1792",1,0,"香川県","カガワケン","高松市","タカマツシ","香川町川東上","カガワチョウカワヒガシカミ",,,,,,"四国松下設備機器　株式会社","シコクマツシタセツビキキ　カブシキガイシヤ","香川町川東上２６００",
761170500,37,37201,372010025,"761-1705",0,0,"香川県","カガワケン","高松市","タカマツシ","香川町川東下","カガワチョウカワヒガシシモ",,,,,,,,,
761170200,37,37201,372010026,"761-1702",0,0,"香川県","カガワケン","高松市","タカマツシ","香川町寺井","カガワチョウテライ",,,,,,,,,
761170700,37,37201,372010027,"761-1707",0,0,"香川県","カガワケン","高松市","タカマツシ","香川町東谷","カガワチョウヒガシタニ",,,,,,,,,
761170800,37,37201,372010028,"761-1708",0,0,"香川県","カガワケン","高松市","タカマツシ","香川町安原下","カガワチョウヤスハラシモ",,,,,,,,,
760002800,37,37201,372010029,"760-0028",0,0,"香川県","カガワケン","高松市","タカマツシ","鍛冶屋町","カジヤマチ",,,,,,,,,
760863000,37,37201,372010029,"760-8630",1,0,"香川県","カガワケン","高松市","タカマツシ","鍛冶屋町","カジヤマチ",,,,,,"株式会社　三菱東京ＵＦＪ銀行　高松支店","カブシキガイシヤ　ミツビシトウキヨウユ－エフジエイギンコウ　タカマツシテン","鍛冶屋町２－１",
760856400,37,37201,372010029,"760-8564",1,0,"香川県","カガワケン","高松市","タカマツシ","鍛冶屋町","カジヤマチ",,,,,,"全国健康保険協会　香川支部","ゼンコクケンコウホケンキヨウカイ　カガワシブ","鍛冶屋町３",
761010100,37,37201,372010030,"761-0101",0,0,"香川県","カガワケン","高松市","タカマツシ","春日町","カスガチョウ",,,,,,,,,
761019700,37,37201,372010030,"761-0197",1,0,"香川県","カガワケン","高松市","タカマツシ","春日町","カスガチョウ",,,,,,"四国コカ・コーラボトリング　（株）","シコクコカ・コ－ラボトリング　カブシキガイシヤ","春日町１３７８",
761019400,37,37201,372010030,"761-0194",1,0,"香川県","カガワケン","高松市","タカマツシ","春日町","カスガチョウ",,,,,,"四国高松学園","シコクタカマツガクエン","春日町９６０",
761019500,37,37201,372010030,"761-0195",1,0,"香川県","カガワケン","高松市","タカマツシ","春日町","カスガチョウ",,,,,,"株式会社　ＳＴＮｅｔ","カブシキガイシヤ　エステイネツト","春日町１７３５－３",
760004000,37,37201,372010031,"760-0040",0,0,"香川県","カガワケン","高松市","タカマツシ","片原町","カタハラマチ",,,,,,,,,
761808200,37,37201,372010032,"761-8082",0,0,"香川県","カガワケン","高松市","タカマツシ","鹿角町","カノツノチョウ",,,,,,,,,
761805600,37,37201,372010033,"761-8056",0,0,"香川県","カガワケン","高松市","タカマツシ","上天神町","カミテンジンチョウ",,,,,,,,,
761806400,37,37201,372010034,"761-8064",0,0,"香川県","カガワケン","高松市","タカマツシ","上之町","カミノチョウ",,,,,,,,,
761854100,37,37201,372010034,"761-8541",1,0,"香川県","カガワケン","高松市","タカマツシ","上之町","カミノチョウ",,,,,,"四電エンジニアリング　株式会社","ヨンデンエンジニアリング　カブシキガイシヤ","上之町３丁目１－４",
761858400,37,37201,372010034,"761-8584",1,0,"香川県","カガワケン","高松市","タカマツシ","上之町","カミノチョウ",,,,,,"株式会社　エフエム香川","カブシキガイシヤ　エフエムカガワ","上之町２丁目１番４３号",
761858100,37,37201,372010034,"761-8581",1,0,"香川県","カガワケン","高松市","タカマツシ","上之町","カミノチョウ",,,,,,"株式会社　瀬戸内海放送","カブシキガイシヤ　セトナイカイホウソウ","上之町２丁目１番４３号",
761030200,37,37201,372010035,"761-0302",0,0,"香川県","カガワケン","高松市","タカマツシ","上林町","カミハヤシチョウ",,,,,,,,,
761039400,37,37201,372010035,"761-0394",1,0,"香川県","カガワケン","高松市","タカマツシ","上林町","カミハヤシチョウ",,,,,,"谷口建設興業　株式会社","タニグチケンセツコウギヨウ　カブシキガイシヤ","上林町４７３－１",
760007700,37,37201,372010036,"760-0077",0,0,"香川県","カガワケン","高松市","タカマツシ","上福岡町","カミフクオカチョウ",,,,,,,,,
761805500,37,37201,372010037,"761-8055",0,0,"香川県","カガワケン","高松市","タカマツシ","紙町","カミマチ",,,,,,,,,
760005000,37,37201,372010038,"760-0050",0,0,"香川県","カガワケン","高松市","タカマツシ","亀井町","カメイチョウ",,,,,,,,,
760853800,37,37201,372010038,"760-8538",1,0,"香川県","カガワケン","高松市","タカマツシ","亀井町","カメイチョウ",,,,,,"四電ビジネス　株式会社","ヨンデンビジネス　カブシキガイシヤ","亀井町７番地９",
760865000,37,37201,372010038,"760-8650",1,0,"香川県","カガワケン","高松市","タカマツシ","亀井町","カメイチョウ",,,,,,"百十四ワークサポート　株式会社","ヒヤクジユウシワ－クサポ－ト　カブシキガイシヤ","亀井町７－１５",
760857600,37,37201,372010038,"760-8576",1,0,"香川県","カガワケン","高松市","タカマツシ","亀井町","カメイチョウ",,,,,,"株式会社　香川銀行","カブシキガイシヤ　カガワギンコウ","亀井町６－１",
760856100,37,37201,372010038,"760-8561",1,0,"香川県","カガワケン","高松市","タカマツシ","亀井町","カメイチョウ",,,,,,"鹿島建設　株式会社　四国支店","カジマケンセツ　カブシキガイシヤ　シコクシテン","亀井町１－３",
